"senator_name","start_date","end_date","description","amount","salary_flag","State","St.Abrv","Party"
"A. MITCHELL MCCONNELL, JR.",2020-05-01,2020-05-29,"STAFF TRANSPORTATION",182,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-07,2020-05-22,"SENATOR'S TRANSPORTATION + AIRFARE FOR SEN MCCONNELL AS FOLLOWS: 5/7 WASHINGTON DC TO CINCINNATI OH; 5/22 + WASHINGTON DC TO LOUISVILLE",629.2,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-23,2020-06-23,"STAFF TRANSPORTATION",21.68,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-09,2020-06-22,"STAFF TRANSPORTATION",13.44,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-29,2020-06-30,"STAFF TRANSPORTATION",72.8,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-03,2020-06-30,"STAFF TRANSPORTATION",91.28,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-02,2020-06-24,"STAFF TRANSPORTATION",785.12,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-01,2020-06-30,"STAFF TRANSPORTATION",94.08,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-02,2020-06-26,"STAFF TRANSPORTATION",535.36,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-15,2020-06-30,"STAFF TRANSPORTATION",75.6,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-05,2020-06-29,"STAFF TRANSPORTATION",119.92,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-03,2020-06-30,"STAFF TRANSPORTATION",336.56,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-11,2020-06-20,"STAFF TRANSPORTATION",65.52,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-08,2020-06-30,"STAFF TRANSPORTATION",1452.64,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-04,2020-06-24,"STAFF TRANSPORTATION",44.24,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-01,2020-06-29,"STAFF TRANSPORTATION",584.64,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-19,2020-06-29,"STAFF TRANSPORTATION",19.04,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-03,2020-06-30,"STAFF TRANSPORTATION",817.6,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-02,2020-06-23,"STAFF TRANSPORTATION",5.49,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-29,2020-07-01,"PER DIEM",162.3,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-06-29,2020-07-01,"STAFF TRANSPORTATION",194.24,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-26,2020-06-22,"SENATOR'S TRANSPORTATION + AIRFARE FOR THE FOLLOWING: 5/30, 6/8, 22 SEN MCCONNELL LOUISVILLE TO WASHINGTON DC; + 6/6 SEN MCCONNELL PHILADELPHIA PA TO CINCINNATI OH; 6/19, 26 SEN MCCONNELL + WASHINGTON DC TO LOUISVILLE; 7/13-14 R BROWNELL WASHINGTON DC TO LOUISVILLE AND + RETURN",1674.6,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-26,2020-06-22,"STAFF TRANSPORTATION",393.2,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-18,2020-07-24,"PER DIEM",1349.01,1,"Kentucky","KY","R"
